Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
84.62M,"1,118,361",-192.65M,n/a,983,4.94,Strong Buy,25.20,"Aug 8, 2024"
48.42M,"278,290",77.78M,n/a,183,8.62,Hold,11.50,"Jul 31, 2024"
9.00M,"65,606",4.96M,$0.24,"6,300",46.34,Strong Buy,98.00,"Aug 8, 2024"
1.88M,"21,229",26.32M,$1.84,678,221.20,n/a,n/a,"Aug 6, 2024"
46.74M,"75,374",-6.66M,n/a,288,8.86,n/a,n/a,"Aug 16, 2024"
,,,,133,,,,
6.62M,"90,374",-31.43M,n/a,862,62.51,Sell,50.00,"Sep 4, 2024"
38.55M,"292,013",30.38M,$1.85,,10.71,Buy,11.96,"Aug 8, 2024"
58.50M,"670,133",-57.47M,n/a,,7.04,Strong Buy,20.50,"Aug 20, 2024"
81.96M,"579,338",-124.45M,n/a,,5.010,Strong Buy,12.13,"Aug 13, 2024"
18.01M,"130,877",-2.14M,$0.30,,22.73,Strong Buy,24.00,"Sep 9, 2024"
17.80M,"46,237",35.83M,$0.64,"21,200",22.98,Hold,19.30,"Oct 21, 2024"
102.78M,"3,454,013",-437.21M,n/a,870,3.980,Hold,5.25,"Aug 7, 2024"
21.77M,"19,652",1.24M,n/a,237,18.74,Hold,17.00,"Jul 24, 2024"
29.93M,"232,561",27.13M,n/a,357,13.62,Hold,13.00,"Aug 1, 2024"
4.46M,"31,475",13.42M,$0.68,69,91.12,Buy,90.00,"Aug 6, 2024"
91.06M,"746,242",-25.72M,n/a,100,4.460,Strong Buy,8.57,"Aug 6, 2024"
4.83M,"15,819",16.82M,$4.00,89,84.00,n/a,n/a,"Oct 16, 2024"
38.13M,"973,572",10.09M,n/a,"1,400",10.63,n/a,n/a,n/a
,,,,255,,,,
25.64M,"197,609",-49.29M,n/a,150,15.79,Strong Buy,61.80,"Aug 8, 2024"
224.30M,"9,757",-19.19M,n/a,65,15.64,Strong Buy,20.00,n/a
122.62M,"52,026",-89.98M,n/a,"1,991",3.290,Strong Buy,7.25,"Aug 27, 2024"
,,,,472,,,,
67.06M,"86,684",-64.20M,n/a,343,6.00,n/a,n/a,"Aug 14, 2024"
9.42M,"1,575",19.02M,$1.20,570,42.70,n/a,n/a,"Sep 10, 2024"
15.47M,"52,228",50.04M,$1.20,362,25.94,Hold,22.00,"Jul 25, 2024"
39.28M,"5,090,904",-32.78M,n/a,162,10.19,n/a,n/a,"Aug 13, 2024"
256.00M,"597,959",-210.26M,n/a,88,1.560,Buy,4.00,"Aug 7, 2024"
62.19M,"479,345",-63.68M,n/a,489,6.42,Hold,10.25,"Aug 6, 2024"
36.06M,"310,986",-23.12M,$1.32,412,11.07,Sell,9.70,"Jul 30, 2024"
,,,,456,,,,
33.06M,"154,915",-77.22M,n/a,123,12.05,Strong Buy,22.14,"Aug 12, 2024"
14.83M,"38,920",-12.09M,$0.96,,26.82,Strong Buy,31.00,"Jul 24, 2024"
31.47M,"62,037",7.96M,n/a,54,12.63,Strong Buy,15.75,"Aug 8, 2024"
40.90M,"1,353,099",-72.10M,n/a,413,9.71,Buy,14.67,"Aug 6, 2024"
23.07M,"68,464",12.22M,n/a,251,17.20,n/a,n/a,"Jul 25, 2024"
48.92M,"148,828",-45.65M,n/a,"2,319",8.09,Buy,13.75,"Aug 5, 2024"
76.83M,"37,623",-50.56M,n/a,,5.13,Buy,6.83,"Aug 8, 2024"
13.73M,"33,656",15.85M,n/a,,28.70,Strong Buy,25.00,"Aug 7, 2024"
12.91M,"23,189",18.10M,$0.50,"1,892",30.50,n/a,n/a,"Aug 7, 2024"
9.24M,"127,489",17.53M,n/a,"1,073",42.19,Buy,46.00,"Jul 31, 2024"
25.14M,"61,376",30.69M,$0.24,477,15.46,Buy,18.00,"Jul 24, 2024"
61.37M,"358,877",-130.41M,n/a,"2,400",6.33,Buy,13.75,"Aug 8, 2024"
132.58M,"378,627",-16.55M,n/a,31,2.930,Strong Buy,4.88,"Aug 8, 2024"
18.87M,"8,046",25.54M,$0.72,"2,287",17.27,Buy,23.00,"May 21, 2024"
,,,,"1,744",,,,
,,,,"1,720",,,,
,,,,299,,,,
,,,,96,,,,
14.24M,"204,172",-160.74M,n/a,33,26.69,Buy,41.00,"Aug 7, 2024"
50.60M,"1,154,471",-860.76M,n/a,,7.51,Hold,35.00,"Aug 9, 2024"
45.52M,"239,645",36.67M,n/a,,8.33,Strong Buy,10.75,"Aug 6, 2024"
14.80M,"79,128",-74.18M,n/a,934,25.59,Buy,30.50,"Aug 8, 2024"
52.62M,"299,507",-66.81M,n/a,"1,060",7.18,Strong Buy,21.00,"Aug 13, 2024"
52.89M,"579,608",-44.77M,n/a,190,7.12,Buy,3.50,"Aug 8, 2024"
49.61M,"52,859",-80.69M,n/a,574,7.59,Strong Buy,20.33,"Aug 8, 2024"
10.19M,"30,586",-8.27M,$1.32,46,36.92,n/a,n/a,"Aug 5, 2024"
27.35M,"29,328",30.39M,n/a,133,13.75,Strong Buy,17.00,"Jul 24, 2024"
70.56M,"538,641",-107.91M,n/a,414,5.32,Strong Buy,17.33,"Aug 13, 2024"
287.86M,"4,745,590",-44.90M,n/a,253,1.300,Strong Buy,4.67,"Aug 8, 2024"
15.55M,"146,579",15.02M,n/a,791,24.03,Strong Buy,33.25,"Jun 13, 2024"
5.50M,"31,876",32.21M,$2.48,214,67.82,n/a,n/a,"Jul 24, 2024"
8.29M,"14,331",37.22M,$1.00,"1,243",44.87,Strong Buy,50.75,"Jul 25, 2024"
12.23M,"33,768",35.63M,$0.96,365,30.42,n/a,n/a,"Jul 23, 2024"
6.89M,"15,330",32.49M,$0.36,59,53.99,Buy,55.00,"Jul 26, 2024"
54.53M,"311,974",9.02M,n/a,225,6.80,Strong Buy,17.83,"Aug 6, 2024"
38.60M,"155,354",-90.69M,n/a,237,9.56,Strong Buy,16.80,"Aug 13, 2024"
36.31M,"174,954",25.62M,n/a,197,10.16,Strong Buy,14.25,"Aug 15, 2024"
33.28M,"464,383",10.68M,$0.44,202,11.06,Strong Buy,15.50,"Aug 22, 2024"
13.53M,"43,202",21.12M,$0.88,,27.20,Hold,26.00,"Aug 1, 2024"
9.34M,"11,499",31.73M,$0.96,,39.34,Buy,37.00,"Jul 11, 2024"
36.66M,"312,751",n/a,n/a,528,10.02,n/a,n/a,n/a
,,,,925,,,,
56.50M,"446,014",-80.55M,n/a,329,6.46,Strong Buy,14.75,"Aug 6, 2024"
8.55M,"20,890",31.19M,$1.28,638,42.33,Buy,37.00,"Jul 24, 2024"
10.30M,"34,828",18.29M,$1.18,10,35.06,n/a,n/a,"Aug 5, 2024"
14.63M,"57,411",-95.32M,n/a,13,24.64,Buy,31.25,"Jul 30, 2024"
35.94M,"391,764",1.70M,n/a,950,10.02,n/a,n/a,n/a
,,,,382,,,,
35.94M,"431,928",n/a,n/a,75,9.99,n/a,n/a,n/a
,,,,107,,,,
278.18M,"286,395",-62.98M,n/a,243,1.290,Hold,2.20,"Aug 15, 2024"
54.66M,"566,334",-23.50M,n/a,608,6.51,Hold,n/a,"Aug 7, 2024"
8.07M,"12,290",36.46M,$1.00,932,44.00,Buy,41.50,"Oct 16, 2024"
80.01M,"470,187",-88.99M,n/a,167,4.420,Buy,10.88,"Oct 2, 2024"
1.19B,"64,930",-27.61M,n/a,"2,437",2.430,Buy,8.00,"Sep 3, 2024"
16.84M,"97,814",19.07M,$0.12,,20.89,Strong Buy,29.33,"Aug 7, 2024"
19.06M,"66,127",1.44M,n/a,,18.42,Hold,n/a,"Jul 30, 2024"
54.12M,"98,014",16.60M,n/a,,6.47,Buy,8.17,"Sep 4, 2024"
13.91M,"34,235",33.59M,$0.40,119,25.10,Buy,26.00,"Oct 21, 2024"
43.15M,"313,371",-75.92M,n/a,167,8.09,Buy,26.67,"Aug 12, 2024"
120.72M,"600,358",-21.80M,n/a,378,2.890,n/a,n/a,"Aug 9, 2024"
,,,,"3,500",,,,
,,,,"4,131",,,,
30.00M,"878,283",28.18M,n/a,147,11.57,Strong Buy,12.64,"Aug 7, 2024"
16.98M,"84,280",38.51M,n/a,"3,604",20.38,Buy,21.83,"Aug 29, 2024"
16.83M,"39,996",21.43M,$1.00,234,20.44,n/a,n/a,"Jul 25, 2024"
7.65M,"24,785",35.54M,$1.08,203,44.97,Hold,44.00,"Jul 23, 2024"
323.99M,"416,539",-91.29M,n/a,265,1.060,Hold,4.00,"Aug 14, 2024"
59.98M,"15,396",3.38M,n/a,760,5.71,Strong Buy,11.00,"Aug 15, 2024"
197.77M,"341,517",-97.31M,n/a,198,1.730,Strong Buy,6.00,"Aug 8, 2024"
45.30M,"20,279",-32.67M,n/a,83,7.55,Strong Buy,9.50,"Jul 31, 2024"
33.56M,"186,825",21.03M,$0.56,64,10.19,Hold,13.00,"Oct 2, 2024"
50.31M,"195,154",-52.32M,n/a,290,6.76,Hold,6.75,"Aug 1, 2024"
19.50M,"178,289",-14.96M,n/a,151,17.42,Strong Buy,24.00,"Aug 8, 2024"
13.67M,"128,662",31.69M,n/a,,24.84,Buy,24.40,"Jul 24, 2024"
62.73M,"225,741",-88.56M,n/a,992,5.40,Strong Buy,16.17,"Aug 6, 2024"
56.70M,"1,324,393",-81.45M,n/a,,5.97,Strong Buy,6.81,"Aug 7, 2024"
9.98M,"12,839",38.76M,$0.52,31,33.91,Buy,39.00,"Oct 11, 2024"
5.66M,"12,007",34.67M,$0.92,"1,448",59.39,Buy,60.00,"Jul 31, 2024"
288.06M,"694,016",-135.38M,n/a,"2,376",1.160,Buy,9.33,"Aug 14, 2024"
31.25M,"703,747",13.24M,n/a,449,10.68,n/a,n/a,n/a
,,,,748,,,,
65.98M,"374,783",-103.94M,$0.04,404,5.05,Buy,10.00,"Jul 30, 2024"
,,,,958,,,,
25.96M,"108,750",40.76M,$0.76,271,12.82,Buy,14.50,"Aug 5, 2024"
53.03M,"243,902",178.79M,$0.90,,6.25,n/a,n/a,"Aug 27, 2024"
16.17M,"94,757",-13.08M,$1.00,,20.49,Hold,18.00,"Oct 21, 2024"
74.57M,"475,869",27.03M,n/a,14,4.440,Buy,6.67,"Aug 6, 2024"
59.42M,"306,850",-37.87M,n/a,,5.57,Strong Buy,9.33,"Sep 3, 2024"
11.70M,"30,556",-25.10M,n/a,161,28.25,Strong Buy,78.50,"Aug 13, 2024"
30.22M,"31,762",13.76M,$0.36,384,10.92,Buy,12.00,"Jul 30, 2024"
62.92M,"11,784,269",-39.38M,n/a,108,5.24,Strong Buy,9.80,"Aug 13, 2024"
84.42M,"274,030",-176.00M,n/a,159,3.900,Hold,6.88,"Aug 7, 2024"
27.60M,"139,563",-17.98M,n/a,,11.88,Strong Buy,9.00,"Aug 7, 2024"
39.26M,"110,681",-36.44M,n/a,472,8.34,Strong Buy,13.20,"Aug 1, 2024"
9.42M,"14,952",30.14M,$1.04,255,34.70,n/a,n/a,"Aug 6, 2024"
378.37M,"201,641",-58.99M,n/a,565,0.864,n/a,n/a,"Sep 6, 2024"
125.41M,"69,901",-69.64M,n/a,600,2.600,Buy,4.50,"Jul 30, 2024"
59.07M,"129,435",11.75M,n/a,480,5.50,Buy,9.50,"Jul 31, 2024"
,,,,163,,,,
,,,,204,,,,
,,,,154,,,,
25.96M,"130,709",33.48M,$0.07,472,12.50,Buy,10.00,"Sep 5, 2024"
210.29M,"1,783,914",-40.44M,n/a,834,1.530,Strong Buy,5.75,"Aug 8, 2024"
55.33M,"39,933",15.07M,n/a,883,5.72,Strong Buy,14.50,"Aug 14, 2024"
51.37M,"458,255",19.07M,n/a,109,6.25,Buy,10.40,"Jul 30, 2024"
22.36M,"380,327",-40.04M,n/a,,14.35,Hold,12.83,"Jul 31, 2024"
4.08M,"12,141",21.51M,$2.00,103,78.03,n/a,n/a,"Aug 8, 2024"
22.48M,"237,708",93.57M,n/a,126,14.21,Buy,25.33,"Aug 29, 2024"
20.65M,"13,609",-2.96M,n/a,776,15.45,n/a,n/a,"Aug 8, 2024"
58.29M,"571,467",-10.93M,n/a,128,5.46,Buy,13.00,"Jul 31, 2024"
82.24M,"1,017,279",-193.45M,n/a,"29,863",3.870,Buy,11.50,"Aug 7, 2024"
187.95M,"6,840",-336.51M,n/a,"3,032",1.690,n/a,n/a,"Jul 31, 2024"
37.26M,"284,758",5.69M,n/a,"2,303",8.49,Strong Buy,9.38,"Sep 10, 2024"
55.86M,"1,922,889",-53.12M,n/a,279,5.65,Strong Buy,12.60,"Aug 14, 2024"
32.59M,"69,176",-89.14M,n/a,38,9.67,Strong Buy,23.00,"Aug 8, 2024"
8.67M,"36,322",18.51M,$0.24,,36.20,Buy,40.38,"Jul 24, 2024"
46.90M,"141,091",35.36M,$0.40,45,6.67,Strong Buy,n/a,"Aug 8, 2024"
31.25M,"323,923",n/a,n/a,61,n/a,n/a,n/a,n/a
,,,,"4,268",,,,
23.97M,"95,286",32.59M,n/a,288,13.05,n/a,n/a,"Aug 5, 2024"
19.62M,"84,386",37.29M,$1.88,996,15.91,Buy,17.33,"Aug 7, 2024"
,,,,313,,,,
120.84M,"111,700","-654,724",n/a,820,2.580,Strong Buy,4.00,"Sep 5, 2024"
11.08M,"10,740",18.05M,n/a,103,28.14,Strong Buy,32.00,"Aug 5, 2024"
264.54M,"1,670,344",-283.83M,n/a,196,1.175,Buy,3.30,"Aug 20, 2024"
255.75M,"1,672,418",-72.50M,n/a,445,1.210,Strong Buy,3.38,"Aug 12, 2024"
40.28M,"329,318",-184.35M,n/a,289,7.68,Strong Buy,12.25,"Oct 2, 2024"
15.39M,"30,620",23.10M,$1.12,33,20.08,n/a,n/a,"Aug 7, 2024"
38.17M,"280,186",-77.17M,n/a,445,8.09,Hold,10.20,"Aug 29, 2024"
11.14M,"13,750",26.35M,$1.44,185,27.61,n/a,n/a,"Oct 16, 2024"
30.80M,"256,493",n/a,n/a,381,n/a,n/a,n/a,n/a
,,,,649,,,,
30.13M,"1,512,518",-9.01M,n/a,270,10.20,Strong Buy,39.00,"Aug 14, 2024"
,,,,14,,,,
32.18M,"1,916,065",66.27M,$0.18,147,9.52,Strong Buy,13.50,"Aug 20, 2024"
n/a,"699,628",n/a,n/a,958,9.98,n/a,n/a,n/a
,,,,,,,,
98.94M,"35,405",-67.34M,n/a,114,3.080,Strong Buy,12.00,"Aug 6, 2024"
20.26M,"90,002",15.48M,$1.25,"6,037",15.03,n/a,n/a,"Jul 24, 2024"
8.75M,"20,845",-6.57M,n/a,330,34.79,Buy,51.50,"Aug 12, 2024"
54.38M,"164,326",-15.27M,n/a,145,5.59,Hold,6.00,"Aug 6, 2024"
48.38M,"59,251",137.78M,n/a,698,6.27,n/a,n/a,"Aug 8, 2024"
,,,,58,,,,
42.80M,"686,461",1.40M,n/a,135,7.08,Buy,7.10,"Aug 8, 2024"
52.33M,"114,283",6.50M,n/a,707,5.77,n/a,n/a,"Jul 24, 2024"
24.68M,"78,600",9.94M,$0.40,270,12.23,n/a,n/a,"Jul 25, 2024"
26.88M,"6,751",-12.68M,n/a,103,11.22,n/a,n/a,"Apr 30, 2024"
48.70M,"442,178",-284.69M,n/a,,6.19,Buy,18.60,"Aug 1, 2024"
126.05M,"268,472",-38.68M,n/a,271,2.390,Buy,4.33,"Aug 9, 2024"
47.76M,"679,132",12.63M,n/a,"2,545",6.30,Buy,7.64,"Aug 14, 2024"
52.97M,"251,006",-104.41M,n/a,"1,308",5.67,Strong Buy,11.40,"Aug 12, 2024"
168.21M,"602,148",-7.66M,n/a,28,1.770,Hold,3.00,"Aug 6, 2024"
23.72M,"147,773",-92.44M,n/a,136,12.51,Hold,7.00,"Aug 6, 2024"
18.86M,"65,580",-14.86M,$0.40,141,15.72,Hold,11.83,"Jul 29, 2024"
24.22M,"50,384",6.20M,$0.30,44,12.23,n/a,n/a,"Aug 7, 2024"
29.67M,500,n/a,n/a,106,8.00,n/a,n/a,n/a
,,,,532,,,,
48.85M,"643,988",-89.98M,n/a,211,6.06,Strong Buy,31.44,"Aug 8, 2024"
151.67M,"1,366,924",-48.13M,n/a,"1,046",1.950,Strong Buy,6.00,"Aug 6, 2024"
16.21M,"288,856",25.49M,$0.08,422,18.24,Buy,19.00,"Sep 9, 2024"
55.02M,"191,275",-129.85M,n/a,217,5.37,Hold,5.33,"Aug 12, 2024"
17.21M,"77,418",28.32M,n/a,389,17.16,Buy,19.00,"Sep 11, 2024"
108.50M,"1,615,902",-92.45M,n/a,296,2.720,Buy,3.62,"Aug 6, 2024"
60.47M,"13,600",-23.09M,n/a,123,4.880,n/a,n/a,"Sep 4, 2024"
39.15M,"234,927",-57.86M,n/a,453,7.51,Strong Buy,14.88,"Jul 31, 2024"
21.38M,"58,790",-267.20M,n/a,"20,386",13.75,Strong Buy,41.60,"Aug 8, 2024"
396.92M,"12,733",-253.00M,n/a,,4.100,n/a,n/a,"Aug 8, 2024"
,,,,"1,183",,,,
15.11M,"181,563",-62.44M,n/a,"1,100",19.29,Strong Buy,75.67,"Aug 13, 2024"
30.97M,"72,846",-69.00M,n/a,381,9.36,Buy,23.60,"Aug 13, 2024"
164.41M,"794,490",130.20M,$0.18,275,1.760,Hold,2.12,"Aug 27, 2024"
22.53M,"62,648",22.09M,$0.84,325,12.83,Hold,13.00,"Jul 25, 2024"
38.83M,"65,153",9.47M,n/a,,7.39,n/a,n/a,"Aug 7, 2024"
5.74M,"2,641",15.80M,$1.52,659,50.00,n/a,n/a,"Jul 24, 2024"
15.13M,"60,163",-497.65M,n/a,942,18.95,n/a,n/a,"Aug 14, 2024"
286.19M,"63,182",-100.31M,n/a,"10,800",0.960,n/a,n/a,n/a
19.62M,"8,446",17.36M,$0.20,358,14.57,Buy,14.83,"Jul 25, 2024"
287.74M,"6,275,276",-345.36M,n/a,173,0.992,Strong Buy,4.25,"Aug 15, 2024"
14.79M,"87,298",13.59M,n/a,936,19.26,Hold,n/a,"Aug 13, 2024"
44.17M,"37,609",-115.35M,n/a,,6.42,Strong Buy,34.40,"Jun 14, 2024"
12.93M,"22,966",20.35M,$0.68,814,21.91,Buy,27.00,"Jul 29, 2024"
8.92M,"11,902",31.84M,$0.36,106,31.70,Buy,36.00,"Oct 21, 2024"
42.89M,"372,838",-49.66M,n/a,231,6.59,Strong Buy,12.60,"Aug 8, 2024"
37.83M,"113,314",-118.08M,$0.20,237,7.46,Buy,11.17,"Aug 5, 2024"
25.23M,"13,918",15.26M,n/a,56,11.17,n/a,n/a,"Sep 6, 2024"
121.40M,"1,370,716",7.12M,n/a,"1,948",2.320,Strong Buy,7.70,"Sep 11, 2024"
34.37M,"3,081",-46.65M,n/a,102,8.27,Strong Buy,16.17,"Aug 6, 2024"
77.19M,"206,828",-6.34M,n/a,,3.620,Strong Buy,8.00,"Aug 7, 2024"
28.00M,"306,805",n/a,n/a,814,n/a,n/a,n/a,n/a
,,,,137,,,,
11.88M,"337,791",-3.45M,n/a,106,23.43,Strong Buy,24.13,"Jul 25, 2024"
17.70M,"193,948",4.44M,n/a,57,15.71,Buy,16.00,"Aug 6, 2024"
97.12M,"398,023",-112.77M,n/a,38,2.860,Strong Buy,14.67,"Aug 5, 2024"
21.19M,"61,720",-115.33M,n/a,430,13.09,Hold,19.00,"Aug 5, 2024"
18.16M,"52,341",11.96M,$0.60,298,15.25,n/a,n/a,"Oct 22, 2024"
56.62M,"172,867",-50.53M,n/a,,4.89,Hold,6.75,"Aug 5, 2024"
14.18M,"23,713",2.47M,$0.25,198,19.50,n/a,n/a,"Oct 16, 2024"
53.21M,"189,358","-240,000",n/a,274,5.19,Strong Buy,9.67,"Aug 7, 2024"
178.96M,"1,628,947",-77.67M,n/a,,1.540,Strong Buy,3.67,"Aug 6, 2024"
36.21M,"1,125,415",-139.65M,n/a,207,7.61,Buy,24.29,"Jul 31, 2024"
23.24M,"105,622",22.83M,$1.54,"1,045",11.84,Hold,12.75,"Aug 8, 2024"
,,,,619,,,,
14.23M,"24,909",23.70M,$0.72,231,19.23,Hold,18.50,"Jul 25, 2024"
27.31M,"113,343",-20.94M,n/a,378,10.00,Strong Buy,15.00,"Sep 9, 2024"
44.65M,"37,988",5.39M,n/a,"5,000",6.10,n/a,n/a,"Aug 8, 2024"
62.55M,"336,429",-22.62M,n/a,206,4.300,Buy,5.75,"Aug 6, 2024"
50.03M,"320,147",-60.64M,n/a,"1,113",5.37,Strong Buy,19.00,"Aug 14, 2024"
11.67M,"60,300",48.12M,$0.40,"1,700",22.98,n/a,n/a,"Jul 22, 2024"
14.73M,"15,033",-45.82M,n/a,84,18.20,Strong Buy,60.00,"Aug 14, 2024"
76.10M,"472,656",-1.35M,n/a,"1,800",3.510,Strong Buy,6.00,"Aug 7, 2024"
15.74M,"101,183",32.22M,$0.64,190,16.94,Hold,18.75,"Jul 29, 2024"
53.30M,"154,044",-34.27M,n/a,51,4.99,Buy,5.00,"Aug 13, 2024"
85.87M,"469,809",10.40M,n/a,89,3.080,Strong Buy,5.25,"Aug 7, 2024"
4.76M,"2,864",27.39M,$1.96,"2,100",55.36,Strong Buy,n/a,"Oct 21, 2024"
145.18M,"93,910",-44.51M,n/a,211,1.810,Strong Buy,3.10,"Aug 7, 2024"
8.96M,"65,956",22.64M,$1.08,"6,900",29.33,Hold,24.00,"Jul 25, 2024"
8.16M,"9,054",13.79M,n/a,175,32.21,Buy,44.00,"Oct 17, 2024"
53.14M,"124,774",7.73M,n/a,43,4.940,Strong Buy,6.17,"Jul 31, 2024"
17.59M,"37,214",22.21M,$0.45,581,14.90,n/a,n/a,"Jul 24, 2024"
396.92M,"1,975,969",-253.00M,n/a,171,0.660,n/a,n/a,"Aug 8, 2024"
23.45M,"77,569","149,703",n/a,50,11.15,n/a,n/a,n/a
,,,,115,,,,
57.02M,"59,217",19.87M,n/a,221,4.580,Strong Buy,8.50,"Aug 7, 2024"
31.74M,"99,922",6.04M,n/a,"5,500",8.19,Strong Buy,14.00,"Jul 25, 2024"
57.59M,"63,344",-3.42M,n/a,18,4.490,Hold,5.50,"Aug 9, 2024"
411.17M,"314,051",-33.52M,n/a,120,0.629,Hold,1.00,"Jul 31, 2024"
90.89M,"339,151",-29.15M,n/a,179,2.840,Strong Buy,3.75,"Aug 5, 2024"
62.13M,"1,905,447",8.20M,n/a,124,4.15,n/a,n/a,n/a
,,,,592,,,,
10.98M,"141,615",28.59M,n/a,"1,024",23.45,Strong Buy,36.00,"Jul 31, 2024"
49.21M,"139,170",-2.68M,n/a,162,5.23,Buy,5.50,"Aug 8, 2024"
151.85M,"664,338",-996.10M,n/a,"2,012",1.690,Hold,3.00,"Aug 8, 2024"
11.07M,"26,125",24.51M,$0.40,15,23.15,n/a,n/a,"Oct 17, 2024"
36.51M,"122,526",-4.12M,n/a,140,7.01,n/a,n/a,"Aug 12, 2024"
42.60M,"301,882",-6.07M,n/a,76,6.00,Strong Buy,9.00,"Aug 6, 2024"
45.96M,"12,229",8.74M,n/a,621,5.51,n/a,n/a,n/a
,,,,591,,,,
18.51M,"47,003",15.46M,n/a,339,13.63,Strong Buy,21.00,"Aug 8, 2024"
22.78M,"136,586",-2.83M,n/a,81,11.07,Buy,16.63,"Oct 10, 2024"
12.73M,"338,072",-7.44M,n/a,194,19.77,n/a,n/a,n/a
22.44M,"148,070",8.64M,n/a,256,11.16,n/a,n/a,"Jul 30, 2024"
37.82M,"61,466",-55.58M,n/a,131,6.62,Strong Buy,15.75,"Aug 12, 2024"
128.33M,"878,731",-62.56M,n/a,126,1.950,Buy,2.83,"Aug 7, 2024"
47.11M,818,-43.88M,n/a,83,5.28,Buy,11.00,"Sep 24, 2024"
22.30M,875,9.89M,n/a,147,11.19,n/a,n/a,n/a
,,,,380,,,,
48.18M,"56,505",9.89M,n/a,339,5.00,n/a,n/a,"Aug 21, 2024"
184.08M,"1,133,381",-177.08M,n/a,159,1.350,Hold,1.00,"Aug 8, 2024"
11.98M,"19,942",21.79M,$0.72,50,20.73,n/a,n/a,"Oct 23, 2024"
33.37M,"54,654",-31.54M,n/a,33,7.43,n/a,n/a,"Aug 7, 2024"
24.08M,"25,288",6.06M,n/a,25,10.29,n/a,n/a,"Jul 10, 2024"
66.21M,"27,754",-66.78M,n/a,265,3.740,Strong Buy,7.00,"Aug 6, 2024"
7.97M,"24,975",24.57M,$0.96,23,31.07,n/a,n/a,"Jul 23, 2024"
21.62M,"14,645",8.65M,n/a,,11.38,n/a,n/a,n/a
,,,,174,,,,
57.95M,"215,528",-140.04M,n/a,"60,000",4.240,Hold,n/a,"Aug 7, 2024"
51.50M,"280,665",-156.25M,n/a,312,4.750,Buy,9.50,"Aug 7, 2024"
23.51M,705,"-41,692",n/a,230,10.38,n/a,n/a,n/a
,,,,109,,,,
26.17M,"95,051",-49.83M,n/a,,9.34,Hold,15.00,"Aug 8, 2024"
10.98M,"30,168",-91.23M,n/a,"1,700",22.22,n/a,n/a,"Aug 8, 2024"
72.26M,"831,353",-30.79M,n/a,100,3.370,Buy,4.50,"Aug 9, 2024"
77.93M,"503,314",-49.21M,n/a,133,3.120,n/a,n/a,"Aug 7, 2024"
37.36M,"116,392","-231,000",$0.30,881,6.48,Hold,7.50,"Jul 29, 2024"
29.95M,"127,705",36.17M,n/a,,8.08,Strong Buy,15.67,"Aug 8, 2024"
6.32M,"6,740",22.35M,$1.20,706,38.09,n/a,n/a,"Jul 25, 2024"
30.23M,"724,223",-204.84M,n/a,,7.97,Hold,13.00,"Aug 6, 2024"
26.57M,"102,050","-300,000",n/a,"1,473",8.99,Strong Buy,16.00,"Aug 8, 2024"
43.31M,"341,783",-52.60M,n/a,58,5.52,Strong Buy,19.00,"Aug 12, 2024"
20.04M,"153,455",12.68M,n/a,984,11.90,Strong Buy,21.50,"Aug 1, 2024"
3.48M,"7,533",15.63M,$1.20,155,68.57,n/a,n/a,"Jul 25, 2024"
55.36M,"333,976",-58.21M,n/a,,4.300,Strong Buy,10.43,"Sep 12, 2024"
74.60M,"915,840",-24.05M,n/a,"1,065",3.180,Strong Buy,4.00,"Aug 8, 2024"
7.45M,"23,787",14.85M,$0.62,,31.72,Hold,28.00,"Jul 30, 2024"
43.07M,"277,433",-26.60M,n/a,,5.45,Strong Buy,13.00,"Aug 7, 2024"
16.77M,"124,629",11.18M,$0.56,135,13.96,Strong Buy,22.00,"Aug 6, 2024"
5.90M,"11,229",28.53M,$1.08,168,39.51,Buy,40.00,"Oct 16, 2024"
23.28M,"151,279",-25.97M,n/a,92,10.00,Strong Buy,20.67,"Sep 3, 2024"
26.46M,"65,266",-10.46M,n/a,142,8.77,Strong Buy,13.50,"Aug 1, 2024"
29.20M,"45,496",-29.90M,n/a,930,7.92,Buy,16.00,"Aug 13, 2024"
44.37M,"9,528",-27.67M,n/a,,5.21,Buy,17.00,"Aug 5, 2024"
1.75M,"7,303",47.65M,n/a,340,131.84,n/a,n/a,"Aug 14, 2024"
100.09M,"32,716",-78.91M,n/a,,2.370,Buy,8.00,"Aug 6, 2024"
112.82M,831,52.20M,n/a,312,2.100,Hold,4.50,"Sep 3, 2024"
67.90M,"159,480",-34.52M,n/a,82,3.380,n/a,n/a,"Aug 13, 2024"
18.19M,"22,555",4.46M,n/a,100,12.61,n/a,n/a,"Oct 22, 2024"
21.21M,"86,517",-9.55M,n/a,434,10.80,Hold,10.63,"Jul 24, 2024"
71.11M,"589,680",-194.65M,n/a,158,3.190,Buy,11.57,"Aug 9, 2024"
29.83M,"42,856",8.88M,n/a,710,7.59,Buy,9.50,"Sep 12, 2024"
99.24M,"747,228",-15.55M,n/a,"2,926",2.280,Strong Buy,8.25,"Aug 14, 2024"
145.75M,"793,947",-12.92M,n/a,7,1.550,Strong Buy,3.00,"Aug 14, 2024"
80.07M,"25,061",-8.31M,n/a,479,2.820,Hold,4.50,"Aug 7, 2024"
