Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
2.32B,"63,866,215",-2.76B,n/a,"2,171",4.200,Hold,3.55,"Aug 5, 2024"
309.12M,"9,175,021",-678.58M,n/a,"9,707",31.46,Hold,35.17,"Aug 28, 2024"
151.39M,"989,231",352.10M,$0.20,"8,800",64.20,Buy,80.38,"Aug 6, 2024"
59.66M,"245,646",372.33M,$1.00,"1,000",162.52,Buy,180.75,"Jul 29, 2024"
131.28M,"1,753,246",438.00M,$2.30,"2,620",73.44,Buy,102.73,"Jul 29, 2024"
257.90M,"2,914,699",649.90M,n/a,"6,500",37.32,Buy,43.22,"Jul 30, 2024"
88.72M,"530,342",306.00M,n/a,"5,502",108.14,Buy,106.36,"Aug 7, 2024"
139.41M,"949,065",-1.04B,$2.80,105,68.02,Strong Buy,68.30,"Jul 25, 2024"
724.54M,"1,223,844",-161.69M,n/a,"5,302",13.08,Strong Buy,14.33,"Aug 6, 2024"
55.97M,"615,254",73.45M,n/a,514,167.97,Strong Buy,179.17,"Aug 7, 2024"
61.88M,"474,008",919.68M,$5.00,30,150.00,Strong Buy,201.78,"Aug 7, 2024"
65.74M,"171,301",240.49M,$1.60,720,141.15,Hold,157.33,"Aug 7, 2024"
43.54M,"437,728",66.23M,n/a,765,212.57,Buy,237.70,"Aug 7, 2024"
233.07M,"3,285,010",241.29M,n/a,456,39.54,Strong Buy,66.93,"Aug 6, 2024"
47.45M,"186,048",221.84M,$1.60,"3,380",194.12,Strong Buy,222.43,"Aug 1, 2024"
257.10M,"3,051,146",-1.46B,n/a,"26,985",35.60,Buy,42.90,"Aug 6, 2024"
313.33M,"880,785",523.74M,$1.56,"18,984",29.08,Strong Buy,48.00,"Aug 20, 2024"
44.48M,"18,086",242.75M,$2.00,"25,000",199.00,n/a,n/a,"Aug 14, 2024"
126.71M,"1,827,445",352.00M,n/a,881,70.82,Buy,77.10,"Aug 6, 2024"
37.75M,"198,498",262.12M,$2.96,"331,000",235.82,Hold,239.27,"Aug 6, 2024"
863.28M,"15,834,709",-5.81B,$1.23,"1,900",10.30,Hold,16.86,"Oct 10, 2024"
142.85M,"506,167",803.00M,n/a,254,62.13,Strong Buy,81.00,"Aug 8, 2024"
111.61M,"271,286",-497.19M,n/a,"1,900",79.35,Strong Buy,96.00,"Aug 6, 2024"
142.85M,"71,909",803.00M,n/a,908,60.87,Strong Buy,81.00,"Aug 8, 2024"
739.52M,"2,633,838",4.74B,n/a,"5,089",11.88,Strong Buy,17.33,"Aug 8, 2024"
